threshold,overall_em,overall_f1,answerable_em,answerable_f1,unanswerable_accuracy,predicted_no_answer_rate,answerable_predicted_empty_rate,false_positive_rate,false_negative_rate,balanced_score,reader_priority_score
-10.0,1.9402202412165706,33.197171733358104,1.0177157934413872,45.95326535658795,1.636520241171404,1.1798636601992658,0.980022615906521,98.36347975882859,0.980022615906521,23.794892798879676,32.65824182196299
-9.5,2.0713162034609334,33.08556658317096,1.0177157934413872,45.60435391941728,2.0671834625322996,1.9664394336654432,1.9223520542781756,97.9328165374677,1.9223520542781756,23.83576869097479,32.543202782351784
-9.355918,2.149973780807551,33.138906118709336,1.0177157934413872,45.56795625207592,2.3255813953488373,2.097535395909806,1.997738409347908,97.67441860465117,1.997738409347908,23.94676882371238,32.5952437950578
-9.0,2.5170424750917673,33.33433016190941,1.0177157934413872,45.32119684791651,3.531438415159345,2.9365495542737285,2.6762156049754995,96.46856158484066,2.6762156049754995,24.426317631537927,32.78426931808936
-8.647954,2.9365495542737285,33.5500327921689,1.0177157934413872,45.02820394622397,4.909560723514212,4.0901940220241215,3.7316245759517526,95.09043927648578,3.7316245759517526,24.96888233486909,32.99261097941104
-8.5,3.0414263240692185,33.59565613486911,1.0177157934413872,44.94302016524342,5.254091300602928,4.37860513896172,3.995476818695816,94.74590869939708,3.995476818695816,25.098555732923174,33.03634150585127
-8.0,3.8542212899842685,34.11993605578495,1.0177157934413872,44.528245803529515,8.010335917312661,6.00419507079182,5.126272144741802,91.98966408268734,5.126272144741802,26.269290860421087,33.572872837664455
-7.985981,3.8542212899842685,34.116190456863684,1.0177157934413872,44.52286106388168,8.010335917312661,6.082852648138437,5.2393516773464,91.98966408268734,5.2393516773464,26.26659849059717,33.56910351991097
-7.5,4.431043523859465,34.227393975859925,0.980022615906521,43.81578613793056,9.991386735572782,7.813319349764027,6.860158311345646,90.00861326442723,6.860158311345646,26.90358643675167,33.66846631722322
-7.440308,4.457262716308338,34.14218857982618,0.980022615906521,43.65560016715306,10.077519379844961,8.075511274252753,7.199396909159442,89.92248062015504,7.199396909159442,26.866559773499013,33.58217593096063
