threshold,overall_em,overall_f1,answerable_em,answerable_f1,unanswerable_accuracy,predicted_no_answer_rate,answerable_predicted_empty_rate,balanced_score,reader_priority_score
-5.5,13.0,27.470958335024832,0.0,21.280821080918866,37.5,37.0,36.76470588235294,29.390410540459435,26.146574756643204
-5.308086,13.0,27.012625001691493,0.0,20.606801473075734,37.5,39.0,39.705882352941174,29.053400736537867,25.67476103115301
-5.002886,14.0,28.012625001691493,0.0,20.606801473075734,40.625,41.0,41.1764705882353,30.615900736537867,26.61226103115301
-5.0,14.0,28.012625001691493,0.0,20.606801473075734,40.625,41.0,41.1764705882353,30.615900736537867,26.61226103115301
-4.830231,15.0,28.095958335024832,0.0,19.258762257389456,43.75,43.0,42.64705882352941,31.504381128694728,26.606133580172617
-4.5,16.0,29.095958335024832,0.0,19.258762257389456,46.875,45.0,44.11764705882353,33.06688112869473,27.543633580172617
-4.485648,16.0,29.095958335024832,0.0,19.258762257389456,46.875,45.0,44.11764705882353,33.06688112869473,27.543633580172617
-4.404755,16.0,29.095958335024832,0.0,19.258762257389456,46.875,47.0,47.05882352941177,33.06688112869473,27.543633580172617
-4.242716,16.0,28.429291668358164,0.0,18.27837010052671,46.875,49.0,50.0,32.57668505026336,26.857359070368695
-4.0,16.0,28.429291668358164,0.0,18.27837010052671,46.875,50.0,51.470588235294116,32.57668505026336,26.857359070368695
-3.82534,16.0,28.429291668358164,0.0,18.27837010052671,46.875,51.0,52.94117647058823,32.57668505026336,26.857359070368695
-3.621996,18.0,30.429291668358164,0.0,18.27837010052671,53.125,53.0,52.94117647058823,35.70168505026336,28.732359070368695
-3.5,19.0,31.429291668358164,0.0,18.27837010052671,56.25,54.0,52.94117647058823,37.26418505026336,29.669859070368695
-3.353127,19.0,30.466328705395203,0.0,16.862248096169413,56.25,55.0,54.411764705882355,36.556124048084705,28.678573667318588
-3.132336,19.0,29.89490013396663,0.0,16.02191196171563,56.25,57.0,57.35294117647059,36.135955980857815,28.090338373200943
-3.0,19.0,29.89490013396663,0.0,16.02191196171563,56.25,57.0,57.35294117647059,36.135955980857815,28.090338373200943
-2.944866,19.0,29.22823346729996,0.0,15.041519804852888,56.25,59.0,60.294117647058826,35.64575990242644,27.40406386339702
-2.736002,20.0,30.22823346729996,0.0,15.041519804852888,59.375,61.0,61.76470588235294,37.20825990242644,28.34156386339702
-2.5,20.0,30.22823346729996,0.0,15.041519804852888,59.375,62.0,63.23529411764706,37.20825990242644,28.34156386339702
-2.178379,20.0,30.22823346729996,0.0,15.041519804852888,59.375,63.0,64.70588235294117,37.20825990242644,28.34156386339702
-2.0,20.0,29.561566800633294,0.0,14.061127647990144,59.375,64.0,66.17647058823529,36.718063823995074,27.655289353593098
-1.970431,20.0,29.27585251491901,0.0,13.640959580763251,59.375,65.0,67.6470588235294,36.507979790381626,27.361171706534275
-1.9,20.0,28.475852514919012,0.0,12.464488992527956,59.375,66.0,69.11764705882354,35.91974449626398,26.53764229476957
-1.827596,21.0,29.475852514919012,0.0,12.464488992527956,62.5,67.0,69.11764705882354,37.48224449626398,27.47514229476957
-1.8,21.0,29.475852514919012,0.0,12.464488992527956,62.5,67.0,69.11764705882354,37.48224449626398,27.47514229476957
-1.721535,21.0,28.867156862745095,0.0,11.56934832756632,62.5,68.0,70.58823529411765,37.03467416378316,26.848543829296425
-1.7,22.0,29.867156862745095,0.0,11.56934832756632,65.625,69.0,70.58823529411765,38.59717416378316,27.786043829296425
-1.6,23.0,30.867156862745095,0.0,11.56934832756632,68.75,70.0,70.58823529411765,40.15967416378316,28.723543829296425
-1.539503,23.0,30.867156862745095,0.0,11.56934832756632,68.75,70.0,70.58823529411765,40.15967416378316,28.723543829296425
-1.5,23.0,30.867156862745095,0.0,11.56934832756632,68.75,71.0,72.05882352941177,40.15967416378316,28.723543829296425
-1.4,23.0,30.033823529411766,0.0,10.34385813148789,68.75,72.0,73.52941176470588,39.546929065743946,27.86570069204152
-1.392778,23.0,30.033823529411766,0.0,10.34385813148789,68.75,72.0,73.52941176470588,39.546929065743946,27.86570069204152
-1.336015,24.0,30.367156862745095,0.0,9.363465974625145,71.875,74.0,75.0,40.61923298731257,28.116926182237602
-1.3,24.0,30.308333333333334,0.0,9.276960784313726,71.875,75.0,76.47058823529412,40.575980392156865,28.056372549019606
-1.2,25.0,31.308333333333334,0.0,9.276960784313726,75.0,76.0,76.47058823529412,42.138480392156865,28.993872549019606
-1.129715,25.0,31.308333333333334,0.0,9.276960784313726,75.0,76.0,76.47058823529412,42.138480392156865,28.993872549019606
-1.1,25.0,31.308333333333334,0.0,9.276960784313726,75.0,76.0,76.47058823529412,42.138480392156865,28.993872549019606
