threshold,overall_em,overall_f1,answerable_em,answerable_f1,unanswerable_accuracy,predicted_no_answer_rate,answerable_predicted_empty_rate,balanced_score,reader_priority_score
-1.663968,28.054535920293656,37.86003344112474,14.248021108179419,28.344578795495572,59.60378983634798,50.0,45.79721070486242,43.974184315921775,37.72234210775129
-1.6,28.1069743051914,37.77380515040809,14.097248398039955,27.994456405449093,60.12058570198105,50.70791819611956,46.58876743309461,44.05752105371507,37.63229519440868
-1.524041,28.1069743051914,37.586146869567756,13.795702977761024,27.423130101971882,60.80964685615849,51.99265862611431,48.13418771202412,44.116388479065186,37.43908512822786
-1.5,28.18563188253802,37.642540088176396,13.720316622691293,27.31573610867124,61.24031007751938,52.307288935500786,48.39803995476819,44.278023093095314,37.493108299325684
-1.4,28.60513896171998,37.8513770180341,13.607237090086695,26.899793421327576,62.876830318690786,53.67068694284216,49.64191481341877,44.88831187000918,37.692904490536534
-1.386778,28.657577346617725,37.845563512263276,13.531850735016961,26.740663111862848,63.2213608957795,54.0115364446775,49.98115341123257,44.98101200382117,37.68487244703784
-1.3,28.788673308862087,37.78832904764822,13.305691669807764,26.243756874380058,64.16881998277347,55.21761929732564,51.300414624952886,45.20628842857676,37.62127580689808
-1.262856,28.91976927110645,37.778238509008524,13.230305314738033,25.96539829376498,64.77174849267873,56.004195070791816,52.167357708254805,45.36857339322185,37.6073033534391
-1.2,29.103303618248557,37.845235846264586,13.079532604598567,25.647089904882435,65.7192075796727,56.81699003670687,52.92122125895213,45.68314874227757,37.66872520731951
-1.111033,29.41793392763503,37.99284776662399,13.004146249528835,25.331594942293204,66.9250645994832,57.996853696906136,54.08970976253298,46.12832977088821,37.8096358394502
-1.1,29.391714735186156,37.911518983548895,12.928759894459104,25.176982059274582,67.01119724375539,58.31148400629261,54.50433471541651,46.094089651514984,37.72724661461882
-1.0,29.680125852123755,38.00809388255656,12.777987184319638,24.75042218924641,68.30318690783807,59.49134766649187,55.635130041462496,46.52680454854224,37.816251604823904
-0.956068,29.601468274777137,37.84495980751897,12.551828119110441,24.402818208020115,68.5615848406546,59.98951232302045,56.23822088202036,46.482201524337356,37.65044819781046
-0.9,29.62768746722601,37.7349527380658,12.401055408970976,24.05620420014435,68.9922480620155,60.671211326691136,57.029777610252545,46.52422613107993,37.5370173587057
-0.800532,29.994756161510225,37.92569849167299,12.174896343761779,23.57656013842472,70.71490094745909,62.00839014158364,58.1982661138334,47.145730542941905,37.71806238113503
-0.8,29.994756161510225,37.92569849167299,12.174896343761779,23.57656013842472,70.71490094745909,62.00839014158364,58.1982661138334,47.145730542941905,37.71806238113503
-0.7,30.15207131620346,37.864887567590706,11.87335092348285,22.961432786577827,71.9207579672696,63.21447299423178,59.404447794949114,47.44109537692371,37.64923034078536
-0.635923,30.204509701101205,37.6622649713188,11.760271390878252,22.481673049607956,72.3514211886305,64.00104876769795,60.34677723332077,47.41654711911923,37.442597491314714
-0.6,30.23072889355008,37.60052609117021,11.722578213343384,22.31752978202909,72.52368647717485,64.3418982695333,60.7614021862043,47.42060812960197,37.37937679057281
-0.5,30.25694808599895,37.39801961817871,11.307953260459858,21.574084743209053,73.557278208441,65.70529627687468,62.26912928759894,47.56568147582503,37.16904278277864
-0.473014,30.23072889355008,37.304442924655966,11.232566905390124,21.40186404622611,73.64341085271317,65.99370739381227,62.64606106294761,47.52263744946964,37.07432808817222
-0.4,30.335605663345568,37.206437366532484,11.006407840180927,20.884037736884615,74.50473729543496,66.96381751442055,63.66377685638899,47.69438751615979,36.97024760444972
-0.305457,30.361824855794442,37.03901380097379,10.704862419901998,20.30410804256089,75.27993109388458,67.98636601992659,64.79457218243498,47.79201956822274,36.796854957958
-0.3,30.388044048243316,37.06523299342266,10.704862419901998,20.30410804256089,75.36606373815677,68.03880440482433,64.83226535996984,47.835085890358826,36.82269475123965
-0.2,30.414263240692186,36.9445472227901,10.403316999623069,19.79136943374348,76.14125753660637,69.11379129522811,66.03844704108556,47.96631348517493,36.69633586460235
-0.127414,30.65023597273204,37.00257184808885,10.252544289483604,19.384775359446245,77.2609819121447,70.00524383848978,66.83000376931776,48.322878635795476,36.74763732525578
-0.1,30.67645516518091,37.018780076148154,10.214851111948738,19.332690241398065,77.43324720068907,70.29365495542737,67.16924236713155,48.38296872104357,36.762857329185366
0.0,30.781331934976404,36.88232733697973,9.98869204673954,18.75959158056565,78.29457364341086,71.28998426848453,68.2246513381078,48.527082611988256,36.62008619941921
0.064358,30.886208704771892,36.8905821821055,9.80022615906521,18.43222029496809,79.06976744186046,71.9979024646041,68.9031285337354,48.75099386841428,36.6234844390358
0.1,30.912427897220766,36.72654928232188,9.649453448925744,18.007937792226024,79.50043066322137,72.62716308337703,69.61929890689785,48.7541842277237,36.455685653524625
0.2,31.017304667016255,36.590280386251266,9.536373916321146,17.548182960106423,80.10335917312662,73.5186156266387,70.63701470033924,48.825771066616525,36.31473582401248
0.249669,31.095962244362873,36.56684124247868,9.460987561251413,17.326020542334597,80.53402239448751,73.9905610907184,71.1270260082925,48.930021468411056,36.28842109798047
0.3,31.17461982170949,36.479291895304875,9.31021485111195,16.9363058004873,81.13695090439276,74.80335605663346,72.03166226912928,49.03662835244003,36.196499331658934
0.4,31.305715783953854,36.373208879821,9.046362608367886,16.331480839667286,82.17054263565892,75.98321971683272,73.27553712777987,49.251011737663106,36.083199378464776
0.400551,31.305715783953854,36.373208879821,9.046362608367886,16.331480839667286,82.17054263565892,75.98321971683272,73.27553712777987,49.251011737663106,36.083199378464776
0.5,31.331934976402728,36.26866752668541,8.782510365623821,15.879644910206615,82.85960378983634,76.82223387519664,74.18017338861667,49.36962435002148,35.97363257409553
0.596399,31.515469323544835,36.18074838166294,8.594044477949492,15.300932652718593,83.8931955211025,78.0020975353959,75.42404824726725,49.59706408691055,35.878611513233764
0.6,31.56790770844258,36.23318676656068,8.594044477949492,15.300932652718593,84.06546080964685,78.05453592029366,75.42404824726725,49.68319673118272,35.93029109979707
0.7,31.75144205558469,36.15150855440133,8.443271767810026,14.768885648883026,85.01291989664082,78.94598846355532,76.29099133056917,49.890902772761926,35.842095923210366
0.8,31.77766124803356,36.00096519115046,8.141726347531097,14.213223233715741,85.78811369509044,79.86366019926587,77.27101394647569,50.00066846440309,35.68569037212815
0.812617,31.75144205558469,35.95976360301652,8.066339992461364,14.116297920054656,85.87424633936261,79.99475616151022,77.42178665661515,49.99527212970864,35.64368244584704
0.9,31.85631882538018,35.87168323109163,7.764794572182435,13.537353879903302,86.90783807062877,81.09596224436288,78.55258198266114,50.22259597526604,35.54849913712094
0.997241,31.830099632931304,35.604975899735855,7.463249151903505,12.890078432564094,87.51076658053402,81.98741478762454,79.57029777610252,50.20042250654906,35.276284876955074
1.0,31.85631882538018,35.614880927994314,7.463249151903505,12.866624899875735,87.59689922480621,82.03985317252229,79.6079909536374,50.23176206234097,35.285707197354874
1.1,31.75144205558469,35.23414785127134,7.048624199019978,12.055424012344096,88.19982773471146,83.21971683272155,81.04033169996231,50.127625873527776,34.898745129054305
1.19685,31.77766124803356,35.11841991561674,6.747078778741048,11.549812875296734,88.97502153316107,83.98007341373885,81.79419525065963,50.2624172042289,34.77737547265603
1.2,31.803880440482434,35.138680200690864,6.747078778741048,11.541246244038811,89.06115417743325,84.05873099108547,81.86958160572937,50.301200210736035,34.79721862405714
1.3,31.882538017829052,35.07180022885909,6.483226535996985,11.068166631311183,89.92248062015504,85.00262191924489,82.84960422163589,50.495323625733114,34.72446082796434
1.4,31.803880440482434,34.81948556522839,6.181681115718055,10.516968694225818,90.35314384151593,85.73675930781332,83.7165473049378,50.43505626787088,34.46782123841285
1.430639,31.75144205558469,34.683002835597065,6.106294760648322,10.320758693919036,90.35314384151593,85.99895123230205,84.09347908028647,50.33695126771748,34.3304742381981
1.5,31.56790770844258,34.439102749895305,5.804749340369393,9.932430413909048,90.43927648578811,86.36601992658626,84.58349038823972,50.18585344984858,34.084484235472765
1.6,31.646565285789197,34.33835457304239,5.54089709762533,9.410661267087702,91.3006029285099,87.20503408495019,85.41274029400678,50.355632097798804,33.977643765514365
1.7,31.67278447823807,34.19178657487142,5.390124387485865,9.011486617625179,91.7312661498708,87.88673308862087,86.20429702223898,50.37137638374799,33.827420477298865
1.706996,31.699003670686942,34.166167167870725,5.390124387485865,8.936962524786635,91.81739879414297,87.99160985841637,86.31737655484358,50.377180659464806,33.801093405593534
1.8,31.699003670686942,34.04883620826569,5.163965322276668,8.542126384593043,92.33419465977606,88.6208704771893,86.99585375047117,50.43816052218455,33.67974686714795
1.9,31.75144205558469,33.95289373473681,5.013192612137203,8.178038712508933,92.85099052540913,89.27635028841112,87.71202412363363,50.51451461895903,33.579924256378995
2.0,31.725222863135816,33.84411473896254,4.74934036939314,7.795497027667962,93.3677863910422,89.80073413738857,88.23972860912176,50.58164170935508,33.467183836680235
2.020973,31.830099632931304,33.914115821024446,4.74934036939314,7.745359118502537,93.71231696813092,89.98426848453067,88.35280814172634,50.72883804331673,33.53544647339105
2.336987,31.46303093864709,33.078377530164566,3.8070109310214852,6.1292619299086475,94.6597760551249,91.976927110645,90.80286468149265,50.39451899251677,32.68841616747352
2.5,31.410592553749346,32.83219057187099,3.4677723332076895,5.511486935965301,95.26270456503015,92.9208180388044,91.89596683000377,50.38709575049772,32.436852224684756
2.714973,31.227058206607236,32.43553662067397,2.9023746701846966,4.639704738503781,95.95176571920759,93.99580492920818,93.13984168865436,50.29573522885568,32.033323032714925
3.0,30.991085474567384,31.97562634047272,2.412363362231436,3.82775682720051,96.29629629629629,95.14944939695857,94.64756879004901,50.0620265617484,31.56831866792924
3.220331,30.96486628211851,31.733419267977137,2.0731247644176403,3.178010210352358,96.98535745047373,95.9884635553225,95.55220505088579,50.08168383041304,31.32021438238877
3.5,30.859989512323022,31.424960797739494,1.5831134564643798,2.395326227884823,97.76055124892335,96.98479286837966,96.64530719939691,50.077938738404086,31.00489373419638
3.879071,30.781331934976404,31.045121018793484,1.206181681115718,1.5854095611301704,98.36347975882859,97.98112218143682,97.81379570297776,49.97444465997938,30.618830620439695
4.0,30.72889355007866,30.952479872140803,1.0177157934413872,1.3391474679023778,98.62187769164514,98.29575249082328,98.15303430079156,49.98051257977376,30.523966535025206
4.5,30.571578395385423,30.68285742393145,0.5653976630229929,0.7253743742459692,99.13867355727821,99.05610907184058,99.01997738409348,49.93202396576209,30.24936412915564
5.0,30.624016780283167,30.713439746672943,0.5277044854881267,0.6562605329101459,99.39707149009475,99.29208180388044,99.24613644930268,50.02666601150244,30.278503820065524
5.5,30.492920818038804,30.55691911296301,0.2638522427440633,0.3558573301322729,99.5693367786391,99.55427372836917,99.54768186958161,49.96259705438568,30.119901164684318
6.0,30.492920818038804,30.50470843817338,0.15077271013946475,0.16771880256060206,99.82773471145565,99.79024646040902,99.7738409347908,49.997726757008124,30.065723575229114
6.5,30.46670162558993,30.472320023971836,0.03769317753486619,0.04577028700662322,100.0,99.94756161510226,99.92461364493026,50.02288514350331,30.032039200904638
7.0,30.44048243314106,30.44048243314106,0.0,0.0,100.0,100.0,100.0,50.0,30.0
7.5,30.44048243314106,30.44048243314106,0.0,0.0,100.0,100.0,100.0,50.0,30.0
8.0,30.44048243314106,30.44048243314106,0.0,0.0,100.0,100.0,100.0,50.0,30.0
8.5,30.44048243314106,30.44048243314106,0.0,0.0,100.0,100.0,100.0,50.0,30.0
9.0,30.44048243314106,30.44048243314106,0.0,0.0,100.0,100.0,100.0,50.0,30.0
9.5,30.44048243314106,30.44048243314106,0.0,0.0,100.0,100.0,100.0,50.0,30.0
10.0,30.44048243314106,30.44048243314106,0.0,0.0,100.0,100.0,100.0,50.0,30.0
